onset	duration	trial_type	value	sample
5.195	1.2	NonTarget	1	5195
5.255	1.2	NonTarget	1	5255
5.316	1.2	NonTarget	1	5316
5.377	1.2	NonTarget	1	5377
5.437	1.2	NonTarget	1	5437
5.497	1.2	Target	2	5497
5.558	1.2	NonTarget	1	5558
5.619	1.2	NonTarget	1	5619
5.68	1.2	NonTarget	1	5680
5.74	1.2	NonTarget	1	5740
5.799	1.2	Target	2	5799
5.859	1.2	NonTarget	1	5859
5.92	1.2	NonTarget	1	5920
5.981	1.2	NonTarget	1	5981
6.04	1.2	NonTarget	1	6040
6.1	1.2	Target	2	6100
6.16	1.2	NonTarget	1	6160
6.22	1.2	NonTarget	1	6220
6.281	1.2	NonTarget	1	6281
6.343	1.2	NonTarget	1	6343
6.403	1.2	NonTarget	1	6403
6.463	1.2	NonTarget	1	6463
6.522	1.2	NonTarget	1	6522
6.583	1.2	Target	2	6583
6.644	1.2	NonTarget	1	6644
6.705	1.2	NonTarget	1	6705
6.765	1.2	NonTarget	1	6765
6.825	1.2	NonTarget	1	6825
6.884	1.2	NonTarget	1	6884
6.945	1.2	Target	2	6945
7.005	1.2	NonTarget	1	7005
7.066	1.2	NonTarget	1	7066
7.126	1.2	NonTarget	1	7126
7.186	1.2	Target	2	7186
7.246	1.2	NonTarget	1	7246
7.306	1.2	NonTarget	1	7306
7.367	1.2	NonTarget	1	7367
7.428	1.2	NonTarget	1	7428
7.489	1.2	NonTarget	1	7489
7.549	1.2	NonTarget	1	7549
7.609	1.2	NonTarget	1	7609
7.669	1.2	Target	2	7669
7.73	1.2	NonTarget	1	7730
7.791	1.2	NonTarget	1	7791
7.852	1.2	NonTarget	1	7852
7.912	1.2	NonTarget	1	7912
7.972	1.2	NonTarget	1	7972
8.032	1.2	Target	2	8032
8.092	1.2	NonTarget	1	8092
8.154	1.2	NonTarget	1	8154
8.214	1.2	NonTarget	1	8214
8.274	1.2	NonTarget	1	8274
8.335	1.2	Target	2	8335
8.395	1.2	NonTarget	1	8395
8.456	1.2	NonTarget	1	8456
8.518	1.2	NonTarget	1	8518
8.578	1.2	NonTarget	1	8578
8.639	1.2	NonTarget	1	8639
8.699	1.2	NonTarget	1	8699
8.759	1.2	Target	2	8759
8.819	1.2	NonTarget	1	8819
8.879	1.2	NonTarget	1	8879
8.939	1.2	Target	2	8939
9.0	1.2	NonTarget	1	9000
9.059	1.2	NonTarget	1	9059
9.119	1.2	NonTarget	1	9119
9.18	1.2	NonTarget	1	9180
9.24	1.2	NonTarget	1	9240
9.301	1.2	NonTarget	1	9301
9.361	1.2	NonTarget	1	9361
9.421	1.2	Target	2	9421
9.482	1.2	NonTarget	1	9482
9.542	1.2	NonTarget	1	9542
9.603	1.2	Target	2	9603
9.663	1.2	NonTarget	1	9663
9.724	1.2	NonTarget	1	9724
9.784	1.2	NonTarget	1	9784
9.843	1.2	NonTarget	1	9843
9.905	1.2	Target	2	9905
9.965	1.2	NonTarget	1	9965
10.026	1.2	NonTarget	1	10026
10.086	1.2	NonTarget	1	10086
10.146	1.2	NonTarget	1	10146
10.206	1.2	NonTarget	1	10206
10.267	1.2	NonTarget	1	10267
10.328	1.2	NonTarget	1	10328
10.388	1.2	NonTarget	1	10388
10.448	1.2	NonTarget	1	10448
10.509	1.2	Target	2	10509
10.569	1.2	NonTarget	1	10569
