onset	duration	trial_type	value	sample
5.278	1.2	NonTarget	1	5278
5.788	1.2	Target	2	5788
6.296	1.2	NonTarget	1	6296
6.804	1.2	NonTarget	1	6804
7.313	1.2	NonTarget	1	7313
7.821	1.2	NonTarget	1	7821
8.33	1.2	NonTarget	1	8330
8.84	1.2	NonTarget	1	8840
9.348	1.2	Target	2	9348
9.856	1.2	NonTarget	1	9856
10.364	1.2	NonTarget	1	10364
10.872	1.2	NonTarget	1	10872
11.382	1.2	NonTarget	1	11382
11.891	1.2	NonTarget	1	11891
12.399	1.2	Target	2	12399
12.907	1.2	NonTarget	1	12907
13.415	1.2	NonTarget	1	13415
13.923	1.2	NonTarget	1	13923
14.431	1.2	NonTarget	1	14431
14.941	1.2	NonTarget	1	14941
15.45	1.2	NonTarget	1	15450
15.957	1.2	NonTarget	1	15957
16.465	1.2	Target	2	16465
16.974	1.2	NonTarget	1	16974
17.483	1.2	NonTarget	1	17483
17.993	1.2	NonTarget	1	17993
18.501	1.2	Target	2	18501
19.011	1.2	NonTarget	1	19011
19.518	1.2	NonTarget	1	19518
20.026	1.2	NonTarget	1	20026
20.534	1.2	NonTarget	1	20534
21.044	1.2	NonTarget	1	21044
21.552	1.2	NonTarget	1	21552
22.06	1.2	NonTarget	1	22060
22.568	1.2	Target	2	22568
23.076	1.2	NonTarget	1	23076
23.585	1.2	NonTarget	1	23585
24.094	1.2	NonTarget	1	24094
24.603	1.2	NonTarget	1	24603
25.111	1.2	NonTarget	1	25111
25.619	1.2	NonTarget	1	25619
26.127	1.2	Target	2	26127
26.636	1.2	NonTarget	1	26636
27.145	1.2	NonTarget	1	27145
27.653	1.2	NonTarget	1	27653
28.162	1.2	NonTarget	1	28162
28.67	1.2	NonTarget	1	28670
29.178	1.2	Target	2	29178
29.687	1.2	NonTarget	1	29687
30.196	1.2	NonTarget	1	30196
30.704	1.2	NonTarget	1	30704
31.213	1.2	NonTarget	1	31213
31.722	1.2	NonTarget	1	31722
32.229	1.2	Target	2	32229
32.738	1.2	NonTarget	1	32738
33.248	1.2	NonTarget	1	33248
33.756	1.2	NonTarget	1	33756
34.264	1.2	Target	2	34264
34.772	1.2	NonTarget	1	34772
35.28	1.2	NonTarget	1	35280
35.789	1.2	NonTarget	1	35789
36.298	1.2	Target	2	36298
36.806	1.2	NonTarget	1	36806
37.314	1.2	NonTarget	1	37314
37.822	1.2	NonTarget	1	37822
38.33	1.2	NonTarget	1	38330
38.839	1.2	NonTarget	1	38839
39.35	1.2	NonTarget	1	39350
39.857	1.2	Target	2	39857
40.365	1.2	NonTarget	1	40365
40.873	1.2	NonTarget	1	40873
41.382	1.2	NonTarget	1	41382
41.89	1.2	NonTarget	1	41890
42.399	1.2	NonTarget	1	42399
42.907	1.2	Target	2	42907
43.416	1.2	NonTarget	1	43416
43.923	1.2	NonTarget	1	43923
44.431	1.2	NonTarget	1	44431
44.94	1.2	NonTarget	1	44940
45.449	1.2	NonTarget	1	45449
45.957	1.2	NonTarget	1	45957
46.466	1.2	NonTarget	1	46466
46.974	1.2	NonTarget	1	46974
47.482	1.2	Target	2	47482
47.99	1.2	NonTarget	1	47990
48.499	1.2	NonTarget	1	48499
49.007	1.2	Target	2	49007
49.515	1.2	NonTarget	1	49515
50.024	1.2	NonTarget	1	50024
50.533	1.2	NonTarget	1	50533
